id,departement-nom,titulaire-soutien,german_density
EL192_L_1993_03_057_04_1_PF_01,Moselle,Front national,0.11187072715972654
EL192_L_1993_03_057_04_1_PF_02,Moselle,Verts;Génération écologie,0.13250283125707815
EL192_L_1993_03_057_04_1_PF_03,Moselle,Rassemblement pour la République;Union pour la démocratie française,0.12149532710280374
EL192_L_1993_03_057_04_1_PF_04,Moselle,socialiste,0.12622549019607843
EL192_L_1993_03_057_04_1_PF_05,Moselle,non mentionné,0.12197231833910034
EL192_L_1993_03_057_05_1_PF_01,Moselle,gaulliste,0.10019646365422397
EL192_L_1993_03_057_05_1_PF_02,Moselle,non mentionné,0.12158054711246201
EL192_L_1993_03_057_05_1_PF_03,Moselle,Verts;Génération écologie,0.11865407319952774
EL192_L_1993_03_057_05_1_PF_04,Moselle,Front national,0.10880503144654088
EL192_L_1993_03_057_05_1_PF_05,Moselle,Union pour la démocratie française;Rassemblement pour la République,0.09237875288683603
EL192_L_1993_03_057_05_1_PF_06,Moselle,Parti du ras le bol,0.13056379821958458
EL192_L_1993_03_057_05_1_PF_07,Moselle,Parti communiste français,0.12953367875647667
EL192_L_1993_03_057_06_1_PF_01,Moselle,Front national,0.10935601458080195
EL192_L_1993_03_057_06_1_PF_02,Moselle,Rassemblement pour la République,0.09216101694915255
EL192_L_1993_03_057_06_1_PF_03,Moselle,Union pour la démocratie française,0.10361067503924647
EL192_L_1993_03_057_06_1_PF_04,Moselle,non mentionné,0.10743801652892562
EL192_L_1993_03_057_06_1_PF_05,Moselle,Verts;Génération écologie,0.12231182795698925
EL192_L_1993_03_057_06_1_PF_06,Moselle,non mentionné,0.07464788732394366
EL192_L_1993_03_057_06_1_PF_07,Moselle,Parti des travailleurs,0.1301518438177874
EL192_L_1993_03_057_06_1_PF_09,Moselle,Parti du ras le bol,0.13204747774480713
EL192_L_1993_03_057_06_1_PF_10,Moselle,Parti communiste français,0.1330128205128205
EL192_L_1993_03_057_07_1_PF_01,Moselle,Front national,0.1128757799205899
EL192_L_1993_03_057_07_1_PF_02,Moselle,Rassemblement pour la République;Union pour la démocratie française,0.13580246913580246
EL192_L_1993_03_057_07_1_PF_03,Moselle,non mentionné,0.14343434343434344
EL192_L_1993_03_057_07_1_PF_04,Moselle,Verts;Génération écologie,0.13230629814227457
EL192_L_1993_03_057_07_1_PF_05,Moselle,Parti du ras le bol,0.1317365269461078
EL192_L_1993_03_057_07_1_PF_06,Moselle,Parti communiste français,0.1413673232908459
EL192_L_1993_03_057_08_1_PF_01,Moselle,Verts;Génération écologie,0.10851063829787234
EL192_L_1993_03_057_08_1_PF_02,Moselle,Parti communiste français,0.12613430127041741
EL192_L_1993_03_057_08_1_PF_03,Moselle,non mentionné,0.11558854718981973
EL192_L_1993_03_057_08_1_PF_04,Moselle,non mentionné,0.09432146294513956
EL192_L_1993_03_057_08_1_PF_07,Moselle,Parti du ras le bol,0.13095238095238096
EL194_L_1993_03_067_01_1_PF_01,Bas-Rhin,Parti socialiste,0.11419558359621451
EL194_L_1993_03_067_01_1_PF_02,Bas-Rhin,Génération écologie;Verts,0.12145289443813848
EL194_L_1993_03_067_01_1_PF_03,Bas-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.11892797319932999
EL194_L_1993_03_067_01_1_PF_04,Bas-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.14214046822742474
EL194_L_1993_03_067_01_1_PF_05,Bas-Rhin,Alsace d'abord,0.13211125158027812
EL194_L_1993_03_067_02_1_PF_01,Bas-Rhin,Alsace d'abord,0.13119899560577528
EL194_L_1993_03_067_02_1_PF_02,Bas-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.13636363636363635
EL194_L_1993_03_067_02_1_PF_03,Bas-Rhin,socialiste,0.11768851303735024
EL194_L_1993_03_067_02_1_PF_04,Bas-Rhin,Front national,0.12450436161776368
EL194_L_1993_03_067_03_1_PF_01,Bas-Rhin,Mouvement démocratie alsacienne,0.11668372569089049
EL194_L_1993_03_067_03_1_PF_02,Bas-Rhin,Génération écologie;Verts,0.15
EL194_L_1993_03_067_03_1_PF_03,Bas-Rhin,Mouvement des chrétiens pour la Ve République;Centre national des indépendants;Union des démocrates de progrès,0.11640953716690042
EL194_L_1993_03_067_03_1_PF_04,Bas-Rhin,Centre des démocrates sociaux;Union pour la démocratie française,0.11670020120724346
EL194_L_1993_03_067_03_1_PF_05,Bas-Rhin,Front national,0.13103037522334723
EL194_L_1993_03_067_03_1_PF_06,Bas-Rhin,Alsace d'abord,0.1329073482428115
EL194_L_1993_03_067_03_1_PF_11,Bas-Rhin,Mouvement des citoyens,0.1468354430379747
EL194_L_1993_03_067_04_1_PF_01,Bas-Rhin,Alsace d'abord,0.13244613434727504
EL194_L_1993_03_067_04_1_PF_02,Bas-Rhin,Génération écologie;Verts,0.1310116086235489
EL194_L_1993_03_067_04_1_PF_03,Bas-Rhin,non mentionné,0.11223996129656506
EL194_L_1993_03_067_04_1_PF_04,Bas-Rhin,Parti socialiste,0.11207970112079702
EL194_L_1993_03_067_04_1_PF_05,Bas-Rhin,Front national,0.1267194664443518
EL194_L_1993_03_067_05_1_PF_01,Bas-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.0944055944055944
EL194_L_1993_03_067_05_1_PF_02,Bas-Rhin,non mentionné,0.10248447204968944
EL194_L_1993_03_067_05_1_PF_03,Bas-Rhin,Front national,0.1297709923664122
EL194_L_1993_03_067_05_1_PF_04,Bas-Rhin,Génération écologie;Verts,0.13409203364670955
EL194_L_1993_03_067_06_1_PF_01,Bas-Rhin,Centre des démocrates sociaux;Union pour la démocratie française,0.09974424552429667
EL194_L_1993_03_067_06_1_PF_02,Bas-Rhin,indépendants,0.11145510835913312
EL194_L_1993_03_067_06_1_PF_03,Bas-Rhin,Front national,0.12848689771766694
EL194_L_1993_03_067_06_1_PF_05,Bas-Rhin,Génération écologie;Verts,0.10749185667752444
EL194_L_1993_03_067_07_1_PF_01,Bas-Rhin,Front national,0.12914188615123195
EL194_L_1993_03_067_07_1_PF_02,Bas-Rhin,Parti socialiste,0.12297181895815543
EL194_L_1993_03_067_07_1_PF_03,Bas-Rhin,Génération écologie;Verts,0.12458100558659217
EL194_L_1993_03_067_07_1_PF_04,Bas-Rhin,non mentionné,0.11566091954022989
EL194_L_1993_03_067_08_1_PF_01,Bas-Rhin,Front national,0.1288135593220339
EL194_L_1993_03_067_08_1_PF_02,Bas-Rhin,Union pour la démocratie française,0.11940298507462686
EL194_L_1993_03_067_08_1_PF_03,Bas-Rhin,Rassemblement pour la République,0.12792792792792793
EL194_L_1993_03_067_08_1_PF_04,Bas-Rhin,Génération écologie;Verts,0.12213225371120108
EL194_L_1993_03_067_08_1_PF_05,Bas-Rhin,non mentionné,0.12814645308924486
EL194_L_1993_03_067_09_1_PF_01,Bas-Rhin,Génération écologie;Verts,0.10730804810360776
EL194_L_1993_03_067_09_1_PF_02,Bas-Rhin,Union du peuple alsacien,0.14964539007092198
EL194_L_1993_03_067_09_1_PF_03,Bas-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.12059158134243458
EL194_L_1993_03_067_09_1_PF_04,Bas-Rhin,Front national,0.12740989103101424
EL194_L_1993_03_068_01_1_PF_01,Haut-Rhin,Parti socialiste,0.13333333333333333
EL194_L_1993_03_068_01_1_PF_02,Haut-Rhin,Génération écologie;Verts;Solidarités écologie,0.13439635535307518
EL194_L_1993_03_068_01_1_PF_03,Haut-Rhin,Rassemblement pour la République,0.10277777777777777
