topic,n_documents,share
Discours institutionnel et valeurs républicaines,1736,0.3046683046683047
"Ruralité, agriculture et développement territorial",977,0.17146367146367147
Mobilisation électorale communiste,607,0.10652860652860653
Immigration et fiscalité,584,0.10249210249210249
"Action locale, solidarité et politiques territoriales",473,0.08301158301158301
"Protection animale, nature et anti-chasse",466,0.08178308178308179
Écologie politique (Verts / GE),393,0.06897156897156898
Rapports sociaux et critique du patronat,235,0.041242541242541245
Services publics et monde ouvrier,131,0.02299052299052299
Parti de la Loi Naturelle (maharishi védique),96,0.016848016848016848
