famille_partisane,"Action locale, solidarité et politiques territoriales",Discours institutionnel et valeurs républicaines,Immigration et fiscalité,Mobilisation électorale communiste,Parti de la Loi Naturelle (maharishi védique),"Protection animale, nature et anti-chasse",Rapports sociaux et critique du patronat,"Ruralité, agriculture et développement territorial",Services publics et monde ouvrier,Écologie politique (Verts / GE)
Ambigu,26,39,0,3,0,0,0,10,0,2
Autres,44,83,0,3,93,0,0,118,9,1
Droite parlementaire (RPR/UDF),5,636,0,0,0,0,1,374,0,2
Extrême gauche,9,1,1,65,2,0,231,1,86,0
Front national,1,36,581,0,0,0,0,13,0,0
Gauche gouvernementale (PS/MRG/MDC),23,202,1,9,0,0,0,162,0,0
Indépendants / divers,22,84,0,0,0,0,0,50,36,0
Non mentionné,128,593,1,27,1,0,1,233,0,2
PCF,5,28,0,496,0,0,1,9,0,1
Écologistes,210,34,0,4,0,466,1,7,0,385
