famille_partisane,Discours institutionnel et valeurs républicaines,"Ruralité, agriculture et développement territorial",Mobilisation électorale communiste,Immigration et fiscalité,"Action locale, solidarité et politiques territoriales","Protection animale, nature et anti-chasse",Écologie politique (Verts / GE),Rapports sociaux et critique du patronat,Services publics et monde ouvrier,Parti de la Loi Naturelle (maharishi védique)
Ambigu,0.4875,0.125,0.0375,0.0,0.325,0.0,0.025,0.0,0.0,0.0
Autres,0.23646723646723647,0.33618233618233617,0.008547008547008548,0.0,0.12535612535612536,0.0,0.002849002849002849,0.0,0.02564102564102564,0.26495726495726496
Droite parlementaire (RPR/UDF),0.6247544204322201,0.36738703339882123,0.0,0.0,0.004911591355599214,0.0,0.0019646365422396855,0.0009823182711198428,0.0,0.0
Extrême gauche,0.0025252525252525255,0.0025252525252525255,0.16414141414141414,0.0025252525252525255,0.022727272727272728,0.0,0.0,0.5833333333333334,0.21717171717171718,0.005050505050505051
Front national,0.05705229793977813,0.020602218700475437,0.0,0.9207606973058637,0.001584786053882726,0.0,0.0,0.0,0.0,0.0
Gauche gouvernementale (PS/MRG/MDC),0.5088161209068011,0.4080604534005038,0.022670025188916875,0.0025188916876574307,0.05793450881612091,0.0,0.0,0.0,0.0,0.0
Indépendants / divers,0.4375,0.2604166666666667,0.0,0.0,0.11458333333333333,0.0,0.0,0.0,0.1875,0.0
Non mentionné,0.6014198782961461,0.2363083164300203,0.02738336713995943,0.0010141987829614604,0.12981744421906694,0.0,0.002028397565922921,0.0010141987829614604,0.0,0.0010141987829614604
PCF,0.05185185185185185,0.016666666666666666,0.9185185185185185,0.0,0.009259259259259259,0.0,0.001851851851851852,0.001851851851851852,0.0,0.0
Écologistes,0.03071364046973803,0.006323396567299007,0.0036133694670280035,0.0,0.1897018970189702,0.4209575429087624,0.34778681120144533,0.0009033423667570009,0.0,0.0
