famille_partisane,Discours institutionnel et valeurs républicaines,Rapports sociaux et critique du patronat,Écologie politique (Verts / GE),Services publics et monde ouvrier,"Protection animale, nature et anti-chasse",Mobilisation électorale communiste (PCF),Parti de la Loi Naturelle (maharishi védique),Immigration et fiscalité,"Action locale, solidarité et politiques territoriales","Ruralité, agriculture et développement territorial"
Ambigu,0.3281302277031126,-2.877175737020314,-0.25131496152594546,-0.8754269556089755,-3.716535016265658,-0.17372578083404192,-2.427143377382051,-3.096726868005948,0.9496042555181615,0.04397689565267562
Autres,-0.2528976130007635,-0.11549287627797532,-2.368814164138843,-0.41823236750609505,-3.3209170829765853,-1.2259367887123764,2.6611181050186694,-1.570126757890998,0.19085648359528637,0.4728362221266681
Droite parlementaire (RPR/UDF),0.6983519042792088,-2.828264961667762,-2.612449600857107,-1.8500581889073622,-4.5307115326248395,-1.421263578294591,-2.137500240444511,-2.2520926275241018,-1.0338366506667749,0.697909642763095
Extrême gauche,-3.249431883410551,2.545751323745793,-4.480850559193544,2.08465299398642,-5.903561168249965,0.23618803730193091,-1.1853144408735228,-3.3082021300419484,-0.8723310582376419,-2.4801728174028534
Front national,-1.1463342233012421,-4.102094485323812,-4.832058222837623,-2.1477031834155764,-4.468037993744061,-2.1979312746349167,-3.345515474887113,2.1340793122859956,-2.3084840007593885,-1.5429456147890488
Gauche gouvernementale (PS/MRG/MDC),0.37095833817683627,-2.6810867802633753,-2.6438064625113973,-1.5689556386238488,-5.019561697030231,-0.19895209821256624,-2.1091630479714993,-2.974488081435225,0.312254803966078,0.6723767154667799
Indépendants / divers,0.28320876132544587,-2.0922174656695187,-2.93642346771473,1.932313225771951,-3.908311078542139,-1.1745809625821821,-1.7460282572125785,-1.7358485503024081,0.3028860617298783,0.39353459140594776
Non mentionné,0.5628152711298116,-2.315695984235875,-1.5649517388970289,-1.435653215850634,-4.032834873333096,-0.3162850092148925,-1.5254212460593615,-2.5201430140583936,0.3721383270583767,0.3190800568711786
PCF,-0.8116761070972152,-2.2225835770253823,-2.622916226437205,-0.5690552260857173,-5.005347454975794,1.8561303733368006,-2.9356663357708843,-3.474744321459516,-0.6514360698013693,-1.0343507073181641
Écologistes,-1.4846204821339384,-3.032413337757931,1.5537054738327516,-2.811880288413603,1.6276129911817627,-1.9877226504175285,-2.638020339046546,-4.109976120484039,0.5721477138933175,-1.5860080753948274
