famille_partisane,Discours institutionnel et valeurs républicaines,Rapports sociaux et critique du patronat,Écologie politique (Verts / GE),Services publics et monde ouvrier,"Protection animale, nature et anti-chasse",Mobilisation électorale communiste (PCF),Parti de la Loi Naturelle (maharishi védique),Immigration et fiscalité,"Action locale, solidarité et politiques territoriales","Ruralité, agriculture et développement territorial"
Ambigu,0.3905673401779495,0.00257795667703247,0.04531833022806492,0.009951910806057607,0.0020042550989728377,0.09623596682886268,0.001608470263522559,0.004520356321790996,0.26744998796348224,0.17976541303214613
Autres,0.21845292442926317,0.040814739910751255,0.00545237375470013,0.015720978530707624,0.0029774088571371104,0.033601569812204184,0.26090666698385695,0.020808552376176497,0.12523357204084964,0.27603122861340323
Droite parlementaire (RPR/UDF),0.565563664010457,0.002707231134147739,0.004273208837421471,0.003754546516917948,0.0008873359972396348,0.027639324994935432,0.0021491728471342182,0.01052076806819056,0.03679891078301663,0.3457058113759801
Extrême gauche,0.010912939765231253,0.5842390770340907,0.0006588109394711321,0.19208534823227444,0.00022409001999818633,0.14499807637386963,0.0055708884306067815,0.0036585374439369696,0.043249163478762766,0.014403038083107035
Front national,0.0894005938053792,0.0007566499405212265,0.00046339973304889294,0.00278773705225204,0.0009447928643131795,0.012711783482419296,0.0006414495404775912,0.8452369626509193,0.010285661651278876,0.036770967137658477
Gauche gouvernementale (PS/MRG/MDC),0.4076580125034314,0.003136649287992433,0.004141262583637248,0.004973557235176579,0.0005438442000306303,0.09383862770979333,0.0022109742120725315,0.005108240722574523,0.1413981688486867,0.33699063988392514
Indépendants / divers,0.37341067391374355,0.0056528865846037545,0.0030904033646758037,0.16494286981590747,0.001654321453675762,0.03537233800542097,0.003179442112307603,0.01763055752623657,0.140079622687305,0.2549868758948529
Non mentionné,0.4938767437404151,0.004520594427925471,0.012182674257305149,0.005682906676499658,0.0014605118695277914,0.08344955710907244,0.003964481270067633,0.008046776756523061,0.1501243179834624,0.23669141328608287
PCF,0.12493437780024202,0.0049618346941011976,0.004228705599510855,0.013519901957651731,0.0005516440505272148,0.7326501799453076,0.0009669083631032771,0.0030971171827533627,0.0539402775274572,0.06114905122295665
Écologistes,0.06374154595388225,0.002207132923937802,0.27554486467374745,0.00143435430174257,0.4198581473258534,0.015685754358740703,0.0013024676474410446,0.0016404217180535283,0.18336419866544892,0.035221086094791465
