famille_partisane,topic,log_ratio,over_represented
Autres,Parti de la Loi Naturelle (maharishi védique),2.6611181050186694,True
Extrême gauche,Rapports sociaux et critique du patronat,2.545751323745793,True
Front national,Immigration et fiscalité,2.1340793122859956,True
Extrême gauche,Services publics et monde ouvrier,2.08465299398642,True
Indépendants / divers,Services publics et monde ouvrier,1.932313225771951,True
PCF,Mobilisation électorale communiste (PCF),1.8561303733368006,True
Écologistes,"Protection animale, nature et anti-chasse",1.6276129911817627,True
Écologistes,Écologie politique (Verts / GE),1.5537054738327516,True
Ambigu,"Action locale, solidarité et politiques territoriales",0.9496042555181615,True
Droite parlementaire (RPR/UDF),Discours institutionnel et valeurs républicaines,0.6983519042792088,True
Droite parlementaire (RPR/UDF),"Ruralité, agriculture et développement territorial",0.697909642763095,True
Gauche gouvernementale (PS/MRG/MDC),"Ruralité, agriculture et développement territorial",0.6723767154667799,True
Écologistes,"Action locale, solidarité et politiques territoriales",0.5721477138933175,True
Non mentionné,Discours institutionnel et valeurs républicaines,0.5628152711298116,True
Autres,"Ruralité, agriculture et développement territorial",0.4728362221266681,True
Indépendants / divers,"Ruralité, agriculture et développement territorial",0.39353459140594776,True
Non mentionné,"Action locale, solidarité et politiques territoriales",0.3721383270583767,True
Gauche gouvernementale (PS/MRG/MDC),Discours institutionnel et valeurs républicaines,0.37095833817683627,True
Ambigu,Discours institutionnel et valeurs républicaines,0.3281302277031126,True
Non mentionné,"Ruralité, agriculture et développement territorial",0.3190800568711786,True
