,lda_topic_max,lda_topic_max,lda_topic_max,lda_topic_margin,lda_topic_margin,lda_topic_margin
,mean,median,count,mean,median,count
lda_dominant_label,,,,,,
Rapports sociaux et critique du patronat,0.9985376190631947,0.9986222982406616,235,0.9980727330568504,0.9982124192174524,235
"Protection animale, nature et anti-chasse",0.994230250432256,0.9944766759872437,466,0.9924366850350472,0.992836417281069,466
Parti de la Loi Naturelle (maharishi védique),0.9669843620310227,0.9983435273170472,96,0.9481302680518032,0.9978552727552599,96
Immigration et fiscalité,0.9016532749958235,0.9947827756404877,584,0.825386583339124,0.9909143720287831,584
Services publics et monde ouvrier,0.7609615844624643,0.8245366811752319,131,0.633969107005818,0.6956070289015771,131
Mobilisation électorale communiste,0.75753807987177,0.7810287475585938,607,0.5974535734813293,0.6341767087578773,607
Écologie politique (Verts / GE),0.7303675488206266,0.739084005355835,393,0.5409283675056403,0.5582072734832764,393
Discours institutionnel et valeurs républicaines,0.6867275921979807,0.6764549016952515,1736,0.4718259709941122,0.45070667564868927,1736
"Ruralité, agriculture et développement territorial",0.6069679818170464,0.5785675644874573,977,0.34263444616875877,0.28462728857994085,977
"Action locale, solidarité et politiques territoriales",0.6003713571244012,0.5700631141662598,473,0.3639140288710021,0.3048337399959564,473
