,n_chars_raw,n_chars_raw,n_chars_raw,n_chars_raw,n_words_lda,n_words_lda,n_words_lda,n_words_lda,n_tokens,n_tokens,n_tokens,n_tokens,msttr,msttr,msttr,msttr
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
lda_dominant_label,,,,,,,,,,,,,,,,
"Action locale, solidarité et politiques territoriales",5122.997885835095,5029.0,1952.5064948121578,473,796.9260042283298,778.0,311.91384488616313,473,357.06976744186045,346.0,140.76441355041246,473,0.8800854851414236,0.885,0.03537904137483707,473
Discours institutionnel et valeurs républicaines,3201.6687788018435,2766.5,1655.7096618868898,1736,506.17396313364054,435.5,270.84179103539134,1736,199.36175115207374,169.0,116.93275690347424,1736,0.8705528266637859,0.8766666666666666,0.049618041571747026,1736
Immigration et fiscalité,5308.756849315068,5417.0,730.4823161375738,584,841.4092465753424,865.0,123.12306238346869,584,346.0445205479452,350.0,46.94745141777066,584,0.8735947488584475,0.8733333333333334,0.019897516229418245,584
Mobilisation électorale communiste (PCF),4649.301482701812,4632.0,1528.5742671346766,607,755.0164744645799,753.0,251.0671607361092,607,294.9176276771005,285.0,107.8601946338036,607,0.8829279015718878,0.89,0.03703486075164576,607
Parti de la Loi Naturelle (maharishi védique),4882.833333333333,5377.0,1394.6180285705602,96,750.9895833333334,825.0,217.03967596497753,96,347.8333333333333,383.0,100.7419493104893,96,0.8342559675543589,0.8333333333333334,0.013151034702053416,96
"Protection animale, nature et anti-chasse",1713.8111587982833,1715.0,23.364129384167207,466,242.53862660944205,243.0,3.273814230392186,466,114.38197424892704,114.0,1.3958529852118038,466,0.9047424892703863,0.9,0.0069125254418161445,466
Rapports sociaux et critique du patronat,7443.234042553191,7439.0,12.518725744726764,235,1295.5489361702128,1295.0,1.9438564564439256,235,457.3191489361702,457.0,1.1455298288714855,235,0.8129787234042554,0.8125,0.00150127241903636,235
"Ruralité, agriculture et développement territorial",4370.099283520983,4028.0,1951.5867213401953,977,679.1310133060389,630.0,314.21536943901634,977,293.49744114636644,269.0,141.97425391310657,977,0.87862078757782,0.88,0.03438771764301117,977
Services publics et monde ouvrier,5403.755725190839,5723.0,1587.7158682624397,131,872.3282442748092,934.0,263.2578274896798,131,348.2290076335878,393.0,105.90268136980917,131,0.8444908642202398,0.8350000000000001,0.03018111553510063,131
Écologie politique (Verts / GE),3522.498727735369,3436.0,691.7096282543755,393,537.6234096692112,525.0,112.03719162729966,393,246.45038167938932,241.0,51.14852528553058,393,0.882864715860899,0.885,0.03305648003092569,393
